,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.9,0.6,0.27263999999999994
1,1,0.9,0.6,0.27263999999999994
2,2,0.9,0.6,0.27263999999999994
3,3,0.9,0.6,0.27263999999999994
4,4,0.9,0.6,0.27263999999999994
5,5,0.9,0.6,0.27263999999999994
6,6,0.9,0.6,0.27263999999999994
7,7,0.9,0.6,0.27263999999999994
8,8,0.9,0.6,0.27263999999999994
9,9,0.9,0.6,0.27263999999999994
