,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.3,0.6,2.5199999999999996
1,1,0.3,0.6,2.5199999999999996
2,2,0.3,0.6,2.5199999999999996
3,3,0.3,0.6,2.5199999999999996
4,4,0.3,0.6,2.5199999999999996
5,5,0.3,0.6,2.5199999999999996
6,6,0.3,0.6,2.5199999999999996
7,7,0.3,0.6,2.5199999999999996
8,8,0.3,0.6,2.5199999999999996
9,9,0.3,0.6,2.5199999999999996
