,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.9,0.1,0.059999999999999984
1,1,0.9,0.1,0.059999999999999984
2,2,0.9,0.1,0.059999999999999984
3,3,0.9,0.1,0.059999999999999984
4,4,0.9,0.1,0.059999999999999984
5,5,0.9,0.1,0.059999999999999984
6,6,0.9,0.1,0.059999999999999984
7,7,0.9,0.1,0.059999999999999984
8,8,0.9,0.1,0.059999999999999984
9,9,0.9,0.1,0.059999999999999984
