,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.1,0.3,0.496068
1,1,0.1,0.3,0.496068
2,2,0.1,0.3,0.496068
3,3,0.1,0.3,0.496068
4,4,0.1,0.3,0.496068
5,5,0.1,0.3,0.496068
6,6,0.1,0.3,0.496068
7,7,0.1,0.3,0.496068
8,8,0.1,0.3,0.496068
9,9,0.1,0.3,0.496068
