,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.7,0.1,2.587092
1,1,0.7,0.1,2.587092
2,2,0.7,0.1,2.587092
3,3,0.7,0.1,2.587092
4,4,0.7,0.1,2.587092
5,5,0.7,0.1,2.587092
6,6,0.7,0.1,2.587092
7,7,0.7,0.1,2.587092
8,8,0.7,0.1,2.587092
9,9,0.7,0.1,2.587092
