,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.7,0.4,3.421248
1,1,0.7,0.4,3.421248
2,2,0.7,0.4,3.421248
3,3,0.7,0.4,3.421248
4,4,0.7,0.4,3.421248
5,5,0.7,0.4,3.421248
6,6,0.7,0.4,3.421248
7,7,0.7,0.4,3.421248
8,8,0.7,0.4,3.421248
9,9,0.7,0.4,3.421248
