,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.4,0.2,1.0970880000000003
1,1,0.4,0.2,1.0970880000000003
2,2,0.4,0.2,1.0970880000000003
3,3,0.4,0.2,1.0970880000000003
4,4,0.4,0.2,1.0970880000000003
5,5,0.4,0.2,1.0970880000000003
6,6,0.4,0.2,1.0970880000000003
7,7,0.4,0.2,1.0970880000000003
8,8,0.4,0.2,1.0970880000000003
9,9,0.4,0.2,1.0970880000000003
