,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.6,0.2,2.127232
1,1,0.6,0.2,2.127232
2,2,0.6,0.2,2.127232
3,3,0.6,0.2,2.127232
4,4,0.6,0.2,2.127232
5,5,0.6,0.2,2.127232
6,6,0.6,0.2,2.127232
7,7,0.6,0.2,2.127232
8,8,0.6,0.2,2.127232
9,9,0.6,0.2,2.127232
