,Simulation number,Probability of honest cars,Probability of coerced cars,Expected Number of Edges
0,0,0.8,0.9,5.7623999999999995
1,1,0.8,0.9,5.7623999999999995
2,2,0.8,0.9,5.7623999999999995
3,3,0.8,0.9,5.7623999999999995
4,4,0.8,0.9,5.7623999999999995
5,5,0.8,0.9,5.7623999999999995
6,6,0.8,0.9,5.7623999999999995
7,7,0.8,0.9,5.7623999999999995
8,8,0.8,0.9,5.7623999999999995
9,9,0.8,0.9,5.7623999999999995
